0ad	古代战争即时策略游戏
am-okay	am-okay 是一个允许您动态复制或移动文件或目录的程序（从终端使用）
amor	一个有趣的应用程序，可以跳转到当前窗口的顶部。
amoveo-wallet	阿莫维钱包
ampareimagetopdf	通过点击将多个图像合并为 PDF
amparepdftoimage	只需点击几下即可轻松将无限量的 PDF 转换为图像
amparepngtoico	单击即可将 PNG 图像转换为 Windows 图标文件
amparewakeonlan	使用 GUI 启动 PC 和 LAN 服务器并保存功能
amp-waver	开源 Ampache 客户端
amqpcat	用于从 AMQP 服务器发布和使用的 CLI 工具
amqp-client-cli	用于监听 AMQP 消息总线上的消息的 CLI 程序
amueller213-hello-world-snap	来自 Java Snap 的 Hello world
amz-aws-cli	Amazon Web Services 的通用命令行界面
zetsubougames-anadventurersgallantry	在这部奇幻视觉小说中，名誉扫地的受训骑士奥伦作为冒险家获得了第二次人生机会。
andrewgoatsnap	新测试总结
andrewgotz	单行电梯推介为您带来精彩快照
androidsdk	该软件包包含 sdkmanager 和 android SDK android 控制台工具。
android-studio-canary	Android IDE（金丝雀版）
android-studio	适用于 Android 的 IDE
android-test-tools	您的申请摘要，不超过 78 个字符。
andy-py-cli	简单的 python CLI 测试应用程序
angband-win	很棒的 Rogue 风格 RPG
angelfish	移动网络浏览器
angstrom	掌握你的人生目标。
anifx	AniFX 是一款免费的光标编辑器，具有许多功能。
anik2	工程量清单的c程序
anilibrix	安妮图书馆
anituner	AniTuner 允许您创建、编辑和转换 Windows 动画光标 ani 文件。
anki-ppd	可扩展的抽认卡学习程序。
anki-woodrow	Anki 是一个用户友好且智能的间隔学习系统。
annotations	管理 Ubuntu 内核 .config 的工具
another-redis-desktop-manager	🚀🚀🚀 更快、更好、更稳定的 Redis 桌面管理器
ansel	组织和开发数码相机图像
semaphore	Ansible 的现代 UI
anta-i7z	适用于 Linux 的更好的 i7（以及现在的 i3、i5）报告工具
antares	一个现代、快速、以生产力为导向的 SQL 客户端，重点关注用户体验。
anti-viral-protocol	射击、横向卷轴、平台、游戏
ant-run-pro	精美的益智游戏
antstream-arcade	畅玩 1000 多种经典游戏。接受我们独特的挑战和排行榜。
antsy-alien-attack-pico	一款复古风格的垂直卷轴射击游戏
ant-time-flutter	蚂蚁时间
antz-panic-in-anthill	很棒的动作/益智游戏
anubias	Anubias 是一个开源工具，用于开发更快、更简单的移动设备等。
anxing	斧头
anyvizcloudadapter	AnyViz 云适配器
ao	优雅的微软待办桌面应用程序
aof	Redis 仅追加文件过滤器
aooserver	AoO 控制台服务器
ant	阿帕奇蚂蚁
groovy	Apache Groovy 编程语言 – 用于 Java 平台的多方面语言
netbeans	Apache NetBeans IDE
orc	Apache ORC 是最快的大数据列式文件格式。
apc-flutter-application	使用 Material Design 3 for Linux 的 Flutter 应用
aperf	网络性能测试工具
aphototoollibre	Linux 下的照片编辑器
apibillme	API计费网关
apic	这是您满足所有 API 设计、文档和测试需求所需的唯一工具。
apig-swagger-ui	用于生成 AWS API Gateway OpenAPI 和 Swagger UI 规范的命令行工具
api-mocker-gateway	适用于任何应用程序的 REST API 模拟程序
apizee-box-1-helmet	盒装头盔包
apkmirror2fdroid	将软件包从 apkmirror.com 镜像到您的 F-Droid 存储库
apktool	一款对 Android apk 文件进行逆向工程的工具。
apktool-new	用于对二进制、封闭式和第三方 Android 应用程序进行逆向工程的工具。
appflowy	开源概念替代方案
app-gif	gif-应用程序
appimage2deb	用于将 AppImage 文件转换为 deb 包的 CLI 实用程序
app-jujue	微粒浏览器
applejuice-collector	appleJuice 客户端的 appleJuice 收集器
applejuice-core	appleJuice P2P 客户端
applejuice-gui	苹果汁图形用户界面
apple-music-for-linux	Linux 版苹果音乐
apple-music-electron	苹果电子音乐
appspace-app	通过数字标牌等吸引您的员工。
appstream-generator	快速 AppStream 元数据生成器
appx	用于通用 Windows 应用程序的 appx 工具
aqua-bubble	很棒的街机游戏
aqueducts	一款身临其境的解谜冒险游戏，您将奋力拯救世界！
arcaurora-cursors	弧形极光光标主题
arcdigital-test	这样的测试。很多哇。
archaeopteryx	系统发育树的可视化、分析和编辑
archivemail	存档并压缩或删除您的旧电子邮件
arcli	惊人的Redmine CLI
arduino-cli	Arduino 命令行界面
arduino	编写代码并将其上传到您的 Arduino 兼容板。
arena-chess	国际象棋多人游戏版本
ares	用 Rust 编写的基于 CLI 的加密工具
ares-test	snapcraft 安装/更新/删除操作和脚本的简单测试
argentumage	开源集换式卡牌游戏的非官方照片
argos-translate-base-langs	为 argos-translate snap 添加语言支持
argos-translate-de-en	为 argos-translate snap 添加德语 - 英语支持
argos-translate-en-it	为 argos-translate snap 添加英语-意大利语支持
argos-translate-en-pt	为 argos-translate snap 添加英语-葡萄牙语支持
aria2c	下一代下载实用程序
arianna	电子书阅读器
arithmetictests	学生算术测试
arkade	游戏合集
ark	处理存档文件
armagetron	3D Tron 克隆。
armaria	Armaria 是一个快速、开放且本地第一的书签管理器。
armcord	ArmCord 是一款定制客户端，旨在增强您的 Discord 体验，同时保持一切轻量级。
armed-to-the-gears	Armed to the Gears 是一款 3D/等距游戏
arp-scanner	轻量级、跨平台 IP 扫描器
arqma-electron-wallet	Arqma电子钱包
artctest	这使用 sdl2_image、sdl2_ttf 评估简单的 sdl2 应用程序
artdiario	每天在您的桌面上精选艺术作品
artemisgcp	阿尔忒弥斯gcp
artifact	Qix、Volfied 和 Barrack 风格的快速游戏
artikulate	清晰发音训练师
asana-snap	体式快照
asana-exporter	从 Asana 导出数据
asa-ncmpcpp	受 ncmpc 启发的基于 ncurses 的 MPD 客户端
asar	操作 asar 文件
asarui	伊阿萨尔
asbru	Asbru 连接管理器的即时移植性
asciicker	3D文本模式的RPG原型
ascii-clock	适用于您终端的模拟时钟
asciidoc-link-check	检查 asciidoc 文件中的所有超链接是否处于活动状态（或非活动状态）。
ascii-draw	使用 ASCII 字符进行绘制
ascii-image-converter	将图像和 gif 转换为 ASCII 艺术
asciinema-agg	agg 是一个 CLI 工具，用于从 asciicast v2 文件生成 GIF
asciinema	以正确的方式记录和共享您的终端会话
ascii-patrol	ASCII 巡逻
asciiquarium	Asciiquarium 是 ASCII 艺术的水族馆/海洋动画
ascii-videoplayer	终端的低分辨率（空间和颜色）视频播放器/图像渲染
asdfkasjfkasjflas	GNU 你好，你好世界快照
askgod	Askgod评分系统-客户
kg-assistant	Assistant是一个令人愉快的文件修改工具
kg-assistantqt	AssistantQt 控制台应用程序助手的开源 GUI
assistivecam	适合视障人士使用的相机查看器
astiga	您的云端在线音乐播放器。
astrastack	天文学堆叠应用程序
astro-flow	Astro Flow 是一款基于 Flowtime 方法的焦点计时器。
astroimpact	拯救地球免遭不可避免的毁灭！在线，与您的朋友一起！
astronum	用于简单占星和命理学计算的程序
atani	阿塔尼
atari800-jz	便携式且免费的 8 位 Atari 模拟器
atari800-linux	雅达利 800 模拟器
atcli	跨平台托管文件传输服务
athena-core	简单的文件处理器
atimerecording	免费在线跟踪工作、自营职业、运动和休闲时间。
atlantik	Monopoly® 棋盘游戏
atlas-cli	MongoDB Atlas API 的命令行界面
atlas-hello	你好世界即时包。
atomica	很棒的 PopCap 游戏
atomic-bomberman	炸弹人正式版
atomify	雾化LAMMPS
atril	适用于 MATE 桌面环境的文档查看器
atsf-diesels	在艾奇逊、托皮卡和圣达菲列表中搜索柴油电力机车信息
attfeeder	姿态角给料机
auale	与电脑对手玩曼卡拉
audacious	轻量级音频播放器
audacity	用于多轨录音和编辑的音频软件
audible-for-linux	Linux 下有声
audible-uk-for-linux	有声的
audio-looper	音频循环器
audio-sharing	共享计算机中的音频
audio-switcher	在音频输出接收器之间切换的简单脚本
audiotube	YouTube 音乐融合客户端
audovia-lite	使用 JFugue MusicStrings 制作音乐的数据库应用程序
auguron	使用 Web3 技术控制您的云存储。
aurora-cli	帮助 Aurora OS 开发人员的脚本集合。
aurora-editor	另一个轻量级折扣编辑器。
austin	用于 CPython 的 Python 帧堆栈采样器
authme	适用于桌面的简单跨平台双因素 (2FA) 身份验证器应用程序。
authpass	具有 KeePass 文件支持的开源密码管理器。
authy	Authy桌面
authz0	Authz0是一个自动化授权测试工具。
auto-cpufreq	Linux 的自动 CPU 速度和功耗优化器
autoinstall-generator	将 Debian 安装程序预置转换为 Subiquity 响应的实用程序
autopilot-qt	QT自动驾驶仪
autopsy	Sleuth Kit 和其他数字取证工具的图形界面。
autoskola3d	驾校3D
autoskola-free6	无autoskola6
autossh	autossh 是一个启动 ssh 副本并监控它的程序
autotrash-unofficial	根据年龄和/或文件名从垃圾箱中清除文件
avahi-client	Avahi 客户端示例
avahi	avahi 守护进程
avernum2	《阿弗纳姆 2》角色扮演游戏
awdur	简单的路线图应用程序
awesome-database-hello	GNU 你好，你好世界快照
awesome-pygames	艾尔·斯威加特游戏。手册位于 inventwithpython.com/pygame。
awk-nsantos	GNU awk
aws-azure-login	使用 Azure AD SSO 通过 CLI 登录 AWS。
aws-cli	Amazon Web Services 的通用命令行界面
aws-es-kibana	本地计算机的 AWS Elasticsearch 代理
awsiot	自动向 AWS IoT 注册您的设备。
aws-iot-greengrass	与 AWS 兼容的软件，可将云功能扩展到本地设备。
aws-serverless-dataflow	AWS无服务器组件的可视化（Lambda、API网关、SNS、SQS等）
aws-ubuntu-advantage	为 Ubuntu Advantage 设置 AWS 账户
wickrpro	为团队提供安全的消息传递
awswickrgov	为团队提供安全的消息传递
awt-graphics	测试java-desktop-maven项目的打包
axel	轻量级 CLI 下载加速器
axeman	Axeman 是一个用于下载、分析和存储 CTL 的实用程序
axolotl	信号客户端。
ayub-trying-snap	单行电梯推介为您带来精彩快照
azbrowse	用于导航 Azure 的交互式 CLI，灵感来自 http://resources.azure.com/
azcopy-johanburati	用于将数据复制到 Azure 存储或从 Azure 存储复制数据的命令行工具
azimuth	Azimuth – 带矢量图形的银河恶魔城
azteca	适用于 Windows 的游戏 Azteca
azcli	Azure 命令行界面 (CLI)，包括 AZCopy
azure-cli-johanburati	微软Azure CLI 2.x
azuredatastudio	为数据专业人员提供统一的工具体验
azure-functions-core-tools-johanburati	Azure Functions 核心工具
b1freearchiver	免费文件归档和加密软件
b2	微型模拟器 b2 BBC
babeld-sabdfl	Babel是一种防止环路的距离矢量路由协议
backbomb	Docker 化的渗透测试/bugbounty/app-sec 环境
backgammon-text	文字版棋盘游戏双陆棋
backupy	备份Py
backupz2	创建备份 tar.gz 文件
backupz	Backupz 创建备份 tar.gz 文件
bacpypes-sample-bems	使用 bacpypes 库的简单 python 脚本
baewangu	社交约会应用程序
bake	Bake 是一个简单的任务运行程序。
balloon-pop	气球爆破游戏和拼图
balls2	游戏
bamboo	用于离线 Web 应用程序的 Web 应用程序服务器。
banana-accounting-plus	香蕉会计软件
bandit	来自 PyCQA 的 Python 安全检查器
bandwhich	终端带宽使用工具
baohui-hello	GNU 你好，你好世界快照
qrca	扫描并创建二维码
bare	空的基础快照，可用于测试和完全静态链接的快照
bare-with-bash	空的基本快照，用于不需要 libc 或类似的快照。
barmer-ecare	与电子患者安排您的登记日期。
barrier-kvm	消除机器之间的障碍。
bart	巴特克利
base58	Base58 和 Base58Check 实现
baseshift	用于转换数字系统的 CLI 应用程序。
bash-brlin	Bourne Again SHell (Bash)（非官方，实验性）
bashell	一个简单的 BASH 脚本来测试所有 BASH 脚本
bash-language-server	Bash 语言服务器
bash-omgerbuilder	GNU 重击
bash-shell-rpg	一款可以在命令行上玩的开放世界 2D 动作角色扮演游戏。
bashtop	您的终端的资源监视器
basic-amd64	最简单的快照。
basiliskii	MacOS BasiliskII 模拟器 - 模拟 Mac 680x0
basket	笔记和任务组织者
bassam-social	巴萨姆社会
bastis-test-snap	Falcon 8+ moosepoint 超宽带有效载荷
batchfilerename	批处理文件重命名实用程序
batch-image-editor	批量图像编辑器
battery-check	不错的平台游戏
battle-rush-tanks	策略街机游戏
battleships-resurrection	经典棋盘游戏战舰的精彩版本
batufo	2D多人太空对战游戏
baugeschichte	查看城市建筑的图像和历史
bavarder	人工智能聊天
bayam	Bayam、儿童游戏、发现和活动
bayes	OpenBayes CLI
bazi-calculator	八字月日计算器
bbk-cli	测量带宽的工具
bbzcloud	BBZ云
bcc-andy	BPF 编译器集合 (BCC)
bcc	BPF 编译器集合 (BCC)
rjd-bcftools	用于变体调用格式的 BCFtools
bcrypt-tool	bcrypt-tool 是一个优雅的 CLI 工具，用于生成和组合 bcrypt 哈希值
bcu-nxp	飞思卡尔/NXP I.MX 远程控制和功率测量工具
beaker-browser	杯浏览器
dupot-beat-match-to-pass	赢得比赛即可通过
beautiful-dog	GNU 你好，萌狗快照的世界
beautysh	适合大众的 Bash 美化工具
bedwarsify-overlay	一个简单但功能丰富的 Hypixel Bed Wars 反狙击覆盖层。
beebasm	具有 BBC Micro 风格语法的便携式 6502 汇编器
beebeep	BeeBEEP 免费办公信使
beebox	蜂箱
beekeeper-studio	易于使用的 SQL 编辑器和数据库管理器，适用于 PSQL、MySQL 等
been	记录您去过的地方
beersmith3	酿造软件
beerun	帮助蜜蜂收集足够的糖来通过关卡，并避免沿途遇到各种不好的事情！
beesweeper	地雷。十六进制和经典扫雷游戏合二为一。
beets	Beets 是专为音乐迷打造的媒体库管理系统。
bejeweled-windows	经典三消游戏
bendyroad	快速开发的控制器固件 IDE。
benjamins-test-snap	这只是一个 snapcraft 测试
berkeleysnap	Run Snap - 伯克利 Scratch
betaflight-configurator	编程和控制您的 BetaFlight FPV 无人机
better-mouse-speed	设置特定的鼠标速度。
bettersis	SIS 的现代外壳（电路模拟器和优化器）
bezique	一种 19 世纪的法国纸牌游戏，适合两名玩家进行配对和技巧
bfbb-split	Betaflight Blackbox 集成闪存日志文件分割器
bhouston-fw-hello	GNU 你好，你好世界快照
bhttp	与 Macaroon 兼容的 HTTP 命令行客户端
bia-client	BIA部落战争助理
biblemate	阅读和学习圣经的好帮手
bible-multi-the-life	免费离线多语言圣经 KJV、Segond、Diodati、Reina Valera、Almeida
bible-multi-the-son-of-man	免费离线多语言圣经 KJV、Segond、Ostervald、Diodati、Reina Valera、Almeida、Schlachter
bible-reading-plan-generator	圣经阅读计划生成器
bibletime	圣经时间
biblio	79 个字符的长摘要
bibref	帮助您发现圣经内部参考文献的工具
bieye	用于在终端控制台上快速阅读的仿生阅读器
bigbarry	员工管理软件。
bigberry	大浆果
bigfile	一个支持http、rpc、ftp协议的文件传输系统
big-metro	过时的游戏被 TransLines 取代。
bigsol3d	适用于 Windows 的 3D 纸牌游戏
big-tut	很棒的动作/益智游戏
bin2src	将字节转换为源代码
binarytranslator	将文本转换为二进制，反之亦然
bing-wall	基于 Gnome 的桌面的 Bing 每日壁纸
binwalk-spirotot	Snap Biwnalk
bissetii	这个 bissetii 包提供了一种安装 Go 主题的方法。
bitbucket-cli	Bitbucket CLI
confidential-bitcoin	比特币机密
bitcoin-core	全面验证比特币点对点网络节点、钱包和GUI
bitgesell-wallet	Bitgesell Wallet - BGL 加密货币的跨平台钱包。
bitlbee-sajoupa	通往其他聊天网络的 IRC 网关 - bitlbee.org
bitmaptize	将数据包装在 .bmp 中并从 .bmp 中提取数据（位图转换器）
bitpay	安全的比特币钱包
bitrix24	Bitrix24 桌面版（测试版）
bitshares2-light	去中心化交易所和加密货币比特股（BTS）的参考钱包
bitticker	系统托盘中的实时比特币-USDT 代码
bittorrent-tracker-editor	添加或删除 torrent 文件跟踪器。
bitwarden	比特沃登
bitwise	curses 中基于终端的按位计算器
bjarkan	命令行蓝牙实用程序
bjornt-prometheus-haproxy-exporter	普罗米修斯 HAProxy 导出器
bjornt-prometheus-node-exporter	普罗米修斯节点导出器
bjornt-prometheus-postgres-exporter	Prometheus Postgresql 导出器
bbcb-cpc	BlackBox Component Builder IDE 的 Component Pascal 集合版本
blackcoin-more	去中心化数字货币的权益证明
blade-publisher-subscriber	ROS示例
blank-demo-app	测试
blanket	听到不同的声音
bledetect101	蓝牙检测工具
blender	Blender 是免费的开源 3D 创作套件。
blender-tpaw	Blender 是免费的开源 3D 创作套件。
bless-unofficial	祝福十六进制编辑器
bl-gateway	节点应用程序在 Dell 网关上运行。
blinken	记忆增强游戏
blix	Blix 是您团队的终极沟通工具。将电子邮件、聊天、日历和联系人合并在一个应用程序中。
blobporter-johanburati	Azure Blob 存储的高并发数据传输工具
block-attack	马里奥博士风格的益智游戏
blockbench-snapcraft	Blockbench – 一个四四方方的 3D 模型编辑器
blockbuster	搜索您最喜欢的电影
playpoker	智能扑克
block	满意的！全新的破块体验。
blockout3	Windows 版俄罗斯方块 3D 版本
bloom	具有持久性和 HTTP 接口的内存中布隆过滤器
blr-says	blr 说什么？ （对于测试来说完全没用的快照）
bluebubbles	适用于 Linux 的 BlueBubbles 客户端
bluedis	优雅的 Redis 界面
bluej	专为初学者设计的免费 Java 开发环境，已有数百万人使用
bluemail	BlueMail 是一款免费、安全且通用的电子邮件应用程序，能够管理无限数量的电子邮件帐户
blueprint-compiler	GTK 用户界面文件的标记语言。
blue-recorder	一个简单的 Linux 桌面屏幕录像机。支持 Wayland 和 Xorg
bluetooth-autostart	简单的按扣即可在启动时自动启动蓝牙
bluez	蓝牙工具和守护程序
blur	Blur Network：私有加密货币
blur-wallet	Blur Network (BLUR) 的图形钱包：https://blur.cash
bmail	为专业人士和公司提供安全邮件。
bmcmanager	用于在机架单元上执行操作的工具。
bmi-calculator	一个简单的体重指数计算器
boardable	可运送
bobrossquotes	鲍勃·罗斯语录集
bofc0	一款3D FPS-RPG策划游戏。 3DFPS-RPG路径规划游戏 免费版 公开版
bofh	直接在您的终端接收 BOFH 式的道歉！
boggle	Boggle 是一款文字游戏，您可以尝试拼出尽可能多的单词。这是一个文字游戏。
boggle-java	Java 版本的 Boggle 游戏
boilerplate2	单一存储库模式
boilerplate-monorepo	单行电梯推介为您带来精彩快照
boinctasks-js	BoincTasks Js
bolls	胶囊
boltstorm	Boltstorm 是 Ludum Dare 34 72 小时游戏大赛期间开发的一款游戏
bomber	街机轰炸游戏
bomberic2	很棒的动作游戏
bomberic	很棒的动作游戏
bombermaaan	粉丝克隆炸弹人
bombsquad	拆弹小组
bomist	博米斯特
bongo-boogie	很棒的破砖机
bonnies-bookstore-dlx	又一款很棒的 PopCap 游戏
bookmark-cd	bcd 到标记目录
boondocksd	城市守护进程
boondocks-hello-world	Boondocks Hello World 应用程序
boop-gtk	将 IvanMathy 的 Boop 移植到 GTK，这是一个供开发人员使用的可编程暂存器。
boostchanger	脉冲交换器
bootstack-elasticsearch	Elasticsearch 是一个分布式 RESTful 搜索和分析引擎
boot-up-time	快速检查笔记本电脑和笔记本电脑的启动时间
borger0	画出振荡器和包络线。
borger3	受 Korg ER-1 启发的音调发生器
borhan	《古兰经》的文本及其各种译本
boringman	在线与其他设计不佳的 2D 火柴人战斗，像疯子一样跳跃并将自己炸成碎片
bbl	BOSH 引导加载程序 CLI
bosh-cli	博世命令行界面
bottle	比特币浏览器
bottom	具有可定制界面的图形过程/系统监视器
bovo	五连胜棋盘游戏
bower	网络包管理器
bow-webots	BOW Webots 是一款免费的 3D 机器人模拟器，使用 BOW SDK 进行了增强
boxwallet	BoxWallet 是一种独特的多货币二进制 CLI 工具，只需几个命令即可快速设置您选择的货币钱包/节点
bpytop	适用于您的终端的基于 Python 的资源监视器。
brainfuck-shell	Shell 像狗屎一样解析你的命令。
brakeman	Ruby on Rails 安全漏洞静态分析工具
branch-diff	轻松比较 2 个 git 分支。
brave	使用 Brave 浏览更快、更安全。
brave-dwarves-bft	很棒的平台游戏
brave-dwarves	很棒的平台游戏
breaktimer	暂停计时器
brickstore	BrickStore - 离线 BrickLink 库存管理工具。
bridge-3000	不错的桥牌游戏
bridge-designer	设计公路桁架桥：工程的现实介绍
qanda-link	Qanda 将网页和 PDF 文档的内容链接到问题和答案
broker	实时零代码API服务器
brook	跨平台代理软件。
bruno	布鲁诺
bsrally	bsrally 是 Rally + Tempest + refstack 测试
bstamp	bstamp摘要
btcassistant	加密货币投资者的简单助手
btctools	蚂蚁矿机管理工具
btc-wallet-tracking	比特币钱包追踪工具
btop-desktop	显示使用情况和统计数据的资源监视器 - 桌面版本
btop	显示使用情况和统计信息的资源监视器
btrfs-progs	btrfs 工具一览
bubble-bobble-2-hero	更新到街机经典
bubble-bobble-nostalgie	街机经典的精彩更新
bubble-pop	泡泡弹出游戏和拼图。
bubs-brothers-windows	街机经典多人游戏更新
bucklespring	怀旧扣簧键盘声音
buffalocounter	我的第一个用于测试的即时应用程序。
bug-bounty	修复所有错误。
bugit	用于向 Launchpad 提交问题并自动附加有关被测系统的信息的工具。
buka	电子书管理和阅读器
bulkurlopener	一个简单易用的应用程序，允许用户单击一下即可打开 URL 列表。
bullet-bubby	Bullet Bubby 是一款射击游戏，或者是弹幕地狱类型的游戏
bullet	子弹时间物理库。
bump	命令行更新 git 存储库中的版本
bumptag	凹凸标签是一个用于碰撞版本并创建带有注释的 git 标签的工具。
bundle-lint	juju 包或部署模型的 Linter
bundler-mardy	Bundler - 用于无序图像集合的运动结构 (SfM)
bun-js	面包
bunjs	Bun 是一个完整且快速的 JavaScript 运行时
bunny-forest	关于兔子、探索和寻找胡萝卜的平静游戏
bunqdesktop	Bunq API 的非官方、免费和开源桌面应用程序
burdirc	IRC 客户端
bus-calculator	巴士计算器
butt	butt（使用此工具进行流式传输）是一个易于使用的流式传输工具
buzyteam	装备布齐
buzz	Buzz、离线音频转录和翻译
buzz-fo	离线转录和翻译音频
bw	Bitwarden CLI – 适用于所有设备的免费、安全的密码管理器。
byspectra	BySpectra 客户端应用程序
byte-cli	字节
bytz	BYTZ，媒体内容的数字货币
bzflag	一款3D第一人称坦克大战游戏
bzoing	适用于桌面的简单日历闹钟
c501checkers	跳棋游戏
cacher	猎人
cacto-loco	疯狂的仙人掌！是一款自上而下的射击游戏，讲述了一个被诅咒的男人寻找他失去的爱人的故事。
cactpot-solver	寻找最佳迷你仙人掌卡选项的工具
caddy-hduran	具有自动 HTTPS 功能的 HTTP/2 Web 服务器
cad-pro-instrument	狗和猫的准瞄准器
caire	内容感知图像调整大小库
cake-queen	时间管理游戏
calaboka	Spotify 的广告消音器
calander	终端压光机
calindori	日历应用程序
camadapterd	CamAdapter主要应用
cameractrls	适用于 Linux 的高级网络摄像头和摄像头控制
camus	使用 WebRTC 进行点对点群组视频聊天。
candid	真诚的身份经理
can-echo-server	创建一个守护进程来回显任何收到的 CAN 数据包
caniuse	Caniuse 命令行工具
cannonball	改进的 OutRun 引擎
