0ad	Forn stríðsleikur í rauntíma
acronym-decoder	Einfalt tól til að leita fljótt að merkingu ýmissa skammstafana og skammstafana.
acrordrdc	Adobe Acrobat Reader er PDF lesandi og vefþjónusta þróuð af Adobe Inc.
act	Þetta forrit er notað til að framkvæma aðgerð eftir aðgerð
adapta-gtk-snap	Adapta: Aðlagandi Gtk+ þema byggt á leiðbeiningum um efnishönnun.
adapta-theme-colorpack	Aðlagar GTK þema litapakka að GTK Snaps
addition	Bætir við python snap app
adguard-home	Allar netauglýsingar og rekja spor einhvers sem hindra DNS netþjón
administrative-assistant	Aðstoðarmaður stjórnsýslu
adom	Epic roguelike og RPG leikur - myndræn útgáfa
adsb-box	ADS-B verkfæri
ads-b	ADS-B demodulator og afkóðari, Mode S og Mode 3A/3C
adtl	API þróun og prófunartæki
advantech-socket-can	Bílstjóri fyrir ADVANTECH CAN samskiptakort
advatek-assistant	Uppgötvaðu og stjórnaðu Advatek tækjum.
advec-examples	Dæmi um Advtech EC flís
adw-gtk3-theme	adw-gtk3 skyndihöfn
aec-arm	breytir tjáningu í armberki M4 kennslukóða
aedit	Intel ISIS-II ritstjórn byggður á textaritill
aegistimetrackertibicle	Auktu framleiðni þína og tímastjórnun
aegisub-procles	Háþróaður textaritill
aesify	Dulkóðaðu PDF skrár auðveldlega með 128 bita eða 256 bita AES dulkóðun
aetherp2p	Aether er jafningjanet sjálfstæðra, sjálfstýrðra samfélaga.
agente-teste	Pontoweb umboðsmaður
age-of-atlantis	Fallegir ráðgátaleikir
ags	ævintýraleikja stúdíó vél til að spila ags leiki.
agsubsimpro	Neðanjarðarhermir með háþróaðri stjórntækjum (flutt frá Android)
agsubsim	Léttur 3D neðanjarðarlestarhermir
ahorcado	Snemma útgáfa
ai-cubeflow-demo	ROS1 Pakki Basic Snap
aigeneratedgame	Bjargaðu vinum þínum úr draugagarðinum!
ai-kubeflow-demo	Basic ROS1 pakka snap tengi með kubeflow docker úttak
ailibrary	Ailurus Studio C++ bókasafn
ail-installer	Arishti Info Labs uppsetningarforrit.
aircontrol	AirControl er opinn flughermir fyrir djúpnámsrannsóknir.
airdash	Flyttu myndir og skrár hvert sem er
airdb	airdb
airhockeyddv2	AIR Hockey Double-Duel V2 Special Edition
airshark	Non-WiFi truflanagreiningartæki
airsonic	Persónulegur, allt-í-einn fjölmiðlastraumspilari.
airtame-application	Airtame
airxonix	Frábær hasarleikur
aisle-sense	Wesense
aiva	AIVA
akonadi	KDE Akonadi gagnaþjónn fyrir PIM forrit
alacritty	Hratt, þvert á vettvang OpenGL flugstöðvahermi
alacritty-unofficial	Nútímalegur, GPU-hraðaður flugstöðvahermi
alarabiya-desktop	Al Arabiya
aldo	Aldo er Morse kóða námstæki gefið út undir GPL.
aleo-studio	Fyrsta IDE heimsins fyrir núllþekkingarsönnun.
alertsync	AlertSync gerir kleift að samstilla vöktunar- og viðvörunarkerfi
alexaweb	Notaðu HTML5 rödd og hátalara til að tengjast Alexa
alfacast	Netþjónalaus straumspilari fyrir hljóð-/myndbandsskjá og áhorfandi
algos	ALGs
aliasman	AliasMan
aliddns	Aliyun ddns þjónusta.
alien-arena-linux	Ofurhraður FPS vettvangur
alien-carnage	Frábær skotmaður
alienware-cli	Alienware LED og HDMI stjórn
alighieri	Truflunlaust tæki fyrir skáldsagnahöfunda og rithöfunda
aliyazdi	Móttækilegt Flutter portfolio app fyrir hvaða vettvang sem er
aliyundrive-fuse	阿里云盘 FUSE
aliyundrive-webdav	阿里云盘 WebDAV
alligator	Farsímastraumalesari
allow2automate	Leyfa2Automate
all-remixes	Uppgötvaðu ÖLL endurhljóðblöndun laganna sem þú elskar!
alphaapp	Forrit til að prófa snap-útgáfu.
alphacoders-downloader	Handrit til að hlaða niður veggfóður frá https://alphacoders.com skrifað í Python.
alphasoc-ae	AlphaSOC greiningarvél
flightsim	AlphaSOC Network Flight Simulator (flightsim)
altair	Fallegur, eiginleikaríkur GraphQL viðskiptavinur fyrir alla vettvang.
amass	Ítarleg DNS upptalning og netkortlagning.
amazing-poker-squares	Spil leikur
amazon-ssm-agent	Umboðsmaður til að virkja fjarstýringu á Amazon EC2 tilviksstillingunum þínum
amz-workspaces	Fáðu aðgang að skjáborðinu þínu hvar sem er, hvenær sem er, á hvaða tæki sem er
amberol	Lítill og einfaldur hljóð- og tónlistarspilari sem er vel samþættur GNOME.
amd-ucode-info	Þjálfa og birta upplýsingar um AMD CPU örkóða gámaskrár
amiconnected	Athugaðu stöðu nettengingarinnar þinnar
am-okay	am-okay er forrit sem gerir þér kleift að afrita eða færa skrár eða möppur á virkan hátt (nota frá flugstöðinni)
amor	Skemmtilegt app sem hoppar efst í núverandi glugga.
amoveo-wallet	Amoveo veski
ampareimagetopdf	Sameina margar myndir í PDF með smellum
amparepdftoimage	Umbreyttu auðveldlega ótakmarkað PDF í mynd með örfáum smellum
amparepngtoico	Umbreyttu PNG mynd í Windows táknskrá með smellum
amparewakeonlan	Ræsir PC og LAN miðlara með GUI og vistunaraðgerð
amp-waver	Opinn uppspretta Ampache viðskiptavinur
amqpcat	CLI tól til að birta og neyta frá AMQP netþjónum
amqp-client-cli	CLI forrit til að hlusta á skilaboð á AMQP skilaboðastrætó
amueller213-hello-world-snap	Halló heimur frá Java Snap
amz-aws-cli	Alhliða stjórnlínuviðmót fyrir Amazon Web Services
zetsubougames-anadventurersgallantry	Oren svívirti riddari í þjálfun fær annað tækifæri í lífinu sem ævintýramaður í þessari sjónrænu fantasíuskáldsögu.
andrewgoatsnap	nýtt próf samantekt
andrewgotz	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
androidsdk	Pakkinn inniheldur sdkmanager og Android SDK Android leikjatölvuverkfæri.
android-studio-canary	IDE fyrir Android (kanaríútgáfa)
android-studio	IDE fyrir Android
android-test-tools	Samantekt á umsókn þinni í 78 stöfum eða færri.
andy-py-cli	Einfalt python CLI prófunarforrit
angband-win	Frábært RPG í fantastíl
angelfish	Farsíma netvafri
angstrom	Náðu tökum á lífsmarkmiðum þínum.
anifx	AniFX er ókeypis bendillaritill með mörgum eiginleikum.
anik2	c forrit fyrir magnskrá
anilibrix	AniLibrix
anituner	AniTuner gerir þér kleift að búa til, breyta og umbreyta Windows hreyfimynduðum bendili ani skrám.
anki-ppd	Stækkanlegt flashcard námsforrit.
anki-woodrow	Anki er notendavænt og gáfulegt dreifnámskerfi.
annotations	Tól til að stjórna Ubuntu kjarna .config
another-redis-desktop-manager	🚀🚀🚀 Hraðari, betri og stöðugri Redis skjáborðsstjóri
ansel	Skipuleggja og þróa stafrænar myndavélarmyndir
semaphore	Nútímalegt notendaviðmót fyrir Ansible
anta-i7z	Betra i7 (og nú i3, i5) skýrslutæki fyrir Linux
antares	Nútímalegur, hraður, framleiðnimiðaður SQL viðskiptavinur með áherslu á UX.
anti-viral-protocol	skotleikur, hliðarskrollur, pallur, leikur
ant-run-pro	Fallegur ráðgáta leikur
antstream-arcade	Spilaðu yfir 1000 klassíska leiki. Taktu á okkur einstöku áskoranir okkar og stigatöflur.
antsy-alien-attack-pico	Lóðrétt fletjandi skotleikur í retro-stíl
ant-time-flutter	Maur Time
antz-panic-in-anthill	Frábær hasar/þrautaleikur
anubias	Anubias er opinn uppspretta tól til að þróa hraðari og auðveldari farsíma o.s.frv.
anxing	ÖXI
anyvizcloudadapter	AnyViz Cloud Adapter
ao	Glæsilegt Microsoft To-Do skrifborðsforrit
aof	Redis skráarsía sem eingöngu er bætt við
aooserver	AoO Console Server
ant	Apache maur
groovy	Apache Groovy forritunarmálið – Margþætt tungumál fyrir Java pallinn
netbeans	Apache NetBeans IDE
orc	Apache ORC er hraðasta dálkalaga skráarsniðið fyrir stór gögn.
apc-flutter-application	Flutter app sem notar Material Design 3 fyrir Linux
aperf	tól til að prófa netafköst
aphototoollibre	Myndaritill fyrir Linux
apibillme	API innheimtugátt
apic	Eina tólið sem þú þarft fyrir alla API hönnun, skjöl og prófunarþarfir.
apig-swagger-ui	Skipanalínutól til að búa til AWS API Gateway OpenAPI og Swagger UI forskriftir
api-mocker-gateway	REST API spottar fyrir hvaða forrit sem er
apizee-box-1-helmet	Box hjálm pakki
apkmirror2fdroid	Spegla pakka frá apkmirror.com í F-Droid geymsluna þína
apktool	Tól fyrir öfuga verkfræði Android apk skrár.
apktool-new	Tól fyrir öfuga verkfræði tvöfaldur, lokuð og þriðja aðila Android forrit.
appflowy	Opinn uppspretta hugmyndaval
app-gif	gif-app
appimage2deb	CLI tól til að umbreyta AppImage skrám í deb pakka
app-jujue	Mote vafri
applejuice-collector	appleJuice safnari fyrir appleJuice viðskiptavin
applejuice-core	appleJuice P2P viðskiptavinur
applejuice-gui	Apple Juice GUI
apple-music-for-linux	Apple tónlist fyrir Linux
apple-music-electron	Apple raftónlist
appspace-app	Náðu til starfsmanna þinna með stafrænum skiltum og fleiru.
appstream-generator	Hratt AppStream lýsigagnaframleiðandi
appx	appx tól fyrir alhliða Windows öpp
aqua-bubble	Frábær spilakassa leikur
aqueducts	Yfirgripsmikill ráðgátaævintýraleikur þar sem þú berst þig til að bjarga deginum!
arcaurora-cursors	Arc Aurora Bendill Þema
arcdigital-test	Þvílíkt próf. fullt af vá.
archaeopteryx	Sjónræn, greining og breyting á sýkingartrjám
archivemail	setja í geymslu og zip eða eyða gamla tölvupóstinum þínum
arcli	Ótrúlegt Redmine CLI
arduino-cli	Arduino skipanalínuviðmót
arduino	Skrifaðu kóðann og hlaðið honum upp á Arduino samhæft borðið þitt.
arena-chess	Fjölspilunarútgáfa af skák
ares	CLI-undirstaða dulkóðunartól skrifað í Rust
ares-test	Einfalt próf fyrir snapcraft uppsetningu/uppfærslu/fjarlægja aðgerðir og forskriftir
argentumage	Óopinber mynd af OpenSource viðskiptakortaleik
argos-translate-base-langs	Bættu við tungumálastuðningi við argos-translate snap
argos-translate-de-en	Bætir þýsku - ensku stuðningi við argos-translate snap
argos-translate-en-it	Bætir ensku-ítalskum stuðningi við argos-translate snap
argos-translate-en-pt	Bætir ensku-portúgölskum stuðningi við argos-translate snap
aria2c	Næsta kynslóð niðurhalsforrit
arianna	rafbókalesari
arithmetictests	Reiknipróf fyrir nemendur
arkade	Safn af leikjum
ark	Vinna með skjalaskrár
armagetron	3D Tron klón.
armaria	Armaria er fljótur, opinn og staðbundinn fyrsta bókamerkjastjóri.
armcord	ArmCord er sérsniðinn viðskiptavinur sem er hannaður til að auka Discord upplifun þína á meðan allt er létt.
armed-to-the-gears	Armed to the Gears er 3D/ísómetrískur leikur
arp-scanner	Léttur IP skanni á milli palla
arqma-electron-wallet	Arqma rafrænt veski
artctest	Þetta metur einfalt sdl2 forrit með sdl2_image, sdl2_ttf
artdiario	Valin list á skjáborðinu þínu á hverjum degi
artemisgcp	artemisgcp
artifact	Fljótur leikur í stíl Qix, Volfied og Barrack
artikulate	Leiðbeinandi framburðarþjálfari
asana-snap	Skyndimynd af Asana
asana-exporter	Flytja út gögn frá Asana
asa-ncmpcpp	MPD viðskiptavinur sem byggir á ncurses innblásinn af ncmpc
asar	Meðhöndla asar skrár
asarui	HÍ Ásar
asbru	Augnablik flytjanleiki Asbru Connection Manager
asciicker	RPG frumgerð í 3D textaham
ascii-clock	Analog klukka fyrir flugstöðina þína
asciidoc-link-check	Athugar hvort allir tenglar í asciidoc skrá séu virkir (eða óvirkir).
ascii-draw	Teiknaðu með ASCII stöfum
ascii-image-converter	Umbreyttu myndum og GIF í ASCII list
asciinema-agg	agg er CLI tól til að búa til GIF úr asciicast v2 skrám
asciinema	Taktu upp og deildu flugstöðvunum þínum á réttan hátt
ascii-patrol	Ascii Patrol
asciiquarium	Asciiquarium er fiskabúr/sjófjör í ASCII list
ascii-videoplayer	Lág upplausn (rými og lit) myndbandsspilari/myndflutningur fyrir útstöð
asdfkasjfkasjflas	GNU Halló, Hello World snap
askgod	Askgod stigakerfi - viðskiptavinur
kg-assistant	Aðstoðarmaður er yndislegt skráabreytingartæki
kg-assistantqt	AssistantQt Open Source GUI fyrir Console Application Assistant
assistivecam	Aðgengilegur myndavélaskoðari fyrir sjónskerta
astiga	Tónlistarspilarinn þinn á netinu í skýinu.
astrastack	Stjörnufræði stöflun app
astro-flow	Astro Flow er fókustímamælir byggður á Flowtime aðferðinni.
astroimpact	Bjargaðu plánetunni frá óumflýjanlegri tortímingu! Á netinu, með vinum þínum!
astronum	Forrit fyrir einfalda stjörnu- og talnafræðilega útreikninga
atani	Atani
atari800-jz	Flytjanlegur og ókeypis 8-bita Atari keppinautur
atari800-linux	Atari 800 keppinautur
atcli	Stýrð skráaflutningsþjónusta á milli palla
athena-core	Einfaldur skráargjörvi
atimerecording	Ókeypis tímamæling á netinu fyrir vinnu, sjálfstætt starf, íþróttir og tómstundir.
atlantik	Monopoly® borðspil
atlas-cli	Skipanalínuviðmót fyrir MongoDB Atlas API
atlas-hello	Halló heimur skyndipakki.
atomica	Frábær PopCap leikur
atomic-bomberman	Opinber útgáfa af Bomberman
atomify	Atóma LAMPAR
atril	Skjalaskoðari fyrir MATE skjáborðsumhverfið
atsf-diesels	Leitaðu að upplýsingum um dísilrafmagnaðir eimreiðar í Atchison, Topeka og Santa Fe skráningunum
attfeeder	Attitude Angle Feeder
auale	Spilaðu mancala á móti tölvuandstæðingi
audacious	Léttur hljóðspilari
audacity	Hljóðhugbúnaður fyrir upptöku og klippingu á mörgum lögum
audible-for-linux	Hlustanlegt fyrir Linux
audible-uk-for-linux	Heyrilegt
audio-looper	Audio Looper
audio-sharing	Deildu hljóði úr tölvunni þinni
audio-switcher	Einfalt handrit til að skipta á milli hljóðúttaksvaska
audiotube	YouTube Music Converged viðskiptavinur
audovia-lite	Gagnagrunnsforrit til að búa til tónlist með JFugue MusicStrings
auguron	Taktu stjórn á skýgeymslunni þinni með Web3 tækni.
aurora-cli	Safn af forskriftum til að hjálpa Aurora OS verktaki.
aurora-editor	Annar léttur afsláttarritstjóri.
austin	Python ramma stafla sýnishorn fyrir CPython
authme	Einfalt tvíþátta (2FA) auðkenningarforrit fyrir skjáborð.
authpass	Opinn lykilorðastjóri með KeePass skráarstuðningi.
authy	Authy Desktop
authz0	Authz0 er sjálfvirkt leyfisprófunartæki.
auto-cpufreq	Sjálfvirkur örgjörvahraði og aflhagræðing fyrir Linux
autoinstall-generator	Gagnsemi til að breyta Debian Installer forstillingu í Subiquity svör
autopilot-qt	QT sjálfstýring
autopsy	Grafískt viðmót fyrir The Sleuth Kit og önnur stafræn réttartæki.
autoskola3d	Ökuskóli 3D
autoskola-free6	sjálfsskólalaus6
autossh	autossh er forrit til að ræsa afrit af ssh og fylgjast með því
autotrash-unofficial	hreinsar skrár úr ruslinu þínu út frá aldri og/eða skráarnafni
avahi-client	Avahi viðskiptavinur dæmi
avahi	avahi-púki
avernum2	Avernum 2 RPG
awdur	Einfalt vegakort app
awesome-database-hello	GNU Halló, Hello World snap
awesome-pygames	Al Sweigart leikir. Handbók á inventwithpython.com/pygame.
awk-nsantos	GNU ókei
aws-azure-login	Notaðu Azure AD SSO til að skrá þig inn á AWS í gegnum CLI.
aws-cli	Alhliða stjórnlínuviðmót fyrir Amazon Web Services
aws-es-kibana	AWS Elasticsearch umboð fyrir staðbundna vél
awsiot	Skráðu tækið þitt sjálfkrafa með AWS IoT.
aws-iot-greengrass	AWS-samhæfður hugbúnaður sem útvíkkar skýjagetu til tækja á staðnum.
aws-serverless-dataflow	Sýning á AWS netþjónalausum íhlutum (Lambda, API Gateway, SNS, SQS osfrv.)
aws-ubuntu-advantage	Settu upp AWS reikning fyrir Ubuntu Advantage
wickrpro	Örugg skilaboð fyrir teymi
awswickrgov	Örugg skilaboð fyrir teymi
awt-graphics	Prófun á umbúðum java-desktop-maven verkefnisins
axel	Léttur CLI niðurhalshraðall
axeman	Axeman er tól til að hlaða niður, greina og geyma CTL
axolotl	Merkja viðskiptavinur.
ayub-trying-snap	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
azbrowse	Gagnvirkt CLI til að vafra um Azure, innblásið af http://resources.azure.com/
azcopy-johanburati	Skipanalínutól til að afrita gögn til/frá Azure geymslu
azimuth	Azimuth – Metroidvania með vektorgrafík
azteca	Leikurinn fyrir Windows Azteca
azcli	Azure Command Line Interface (CLI), þar á meðal AZCopy
azure-cli-johanburati	Microsoft Azure CLI 2.x
azuredatastudio	Samræmd verkfæraupplifun fyrir gagnasérfræðinga
azure-functions-core-tools-johanburati	Azure Functions kjarnaverkfæri
b1freearchiver	Ókeypis hugbúnaður til að geyma skrár og dulkóða
b2	Micro Emulator b2 BBC
babeld-sabdfl	Babel er fjarlægðarvektor leiðaraðferð sem kemur í veg fyrir lykkjur
backbomb	Dockerized skarpskyggni próf / bugbounty / app-sec umhverfi
backgammon-text	Textaútgáfa af borðspilinu Kotra
backupy	BackupPy
backupz2	Búðu til afrit af tar.gz skrá
backupz	Backupz býr til afrit tar.gz skrá
bacpypes-sample-bems	Einfalt python forskrift sem notar bacpypes bókasafnið
baewangu	Félagslegt stefnumótaapp
bake	Baka er einfalt verkefni hlaupari.
balloon-pop	blöðrusprengjandi leikur og ráðgáta
balls2	leik
bamboo	Vefforritaþjónn fyrir netforrit utan netkerfis.
banana-accounting-plus	Banana bókhald hugbúnaður
bandit	Python öryggislinter frá PyCQA
bandwhich	Notkunartæki fyrir bandbreidd flugstöðvar
baohui-hello	GNU Halló, Hello World snap
qrca	Skannaðu og búðu til QR kóða
bare	Tómt grunnsmellur, gagnlegt til að prófa og fullkomlega statískt tengd skyndimynd
bare-with-bash	Tómt grunnsnap fyrir snaps sem þurfa ekki libc eða álíka.
barmer-ecare	Skipuleggðu skráningardaginn þinn með rafræna sjúklingnum.
barrier-kvm	Eyddu hindruninni á milli vélanna þinna.
bart	Bart cli
base58	Base58 og Base58Check útfærslu
baseshift	CLI forrit til að breyta talnakerfum.
bash-brlin	The Bourne Again SHell (Bash) (ÓOPINBERLEG, TILRAUNA)
bashell	Einfalt BASH forskrift til að prófa öll BASH forskriftirnar þínar
bash-language-server	Bash tungumálaþjónn
bash-omgerbuilder	GNU Bash
bash-shell-rpg	Opinn heimur 2D hasar RPG til að spila á skipanalínunni.
bashtop	Auðlindaskjár fyrir flugstöðina þína
basic-amd64	Einfaldasta snappið.
basiliskii	MacOS BasiliskII keppinautur - líkir eftir Mac 680x0
basket	Glósur og verkefnaskipuleggjari
bassam-social	bassam-félagslegur
bastis-test-snap	Falcon 8+ moosepoint uwb farmur
batchfilerename	Hópskrá endurnefna gagnsemi
batch-image-editor	Hópmyndaritill
battery-check	Góður platformer
battle-rush-tanks	Stefna spilakassa leikur
battleships-resurrection	Frábær útgáfa af klassíska borðspilinu Battleships
batufo	2D fjölspilunar geimbardagaleikur
baugeschichte	Sjáðu myndir og sögu byggingar borgar
bavarder	AI spjall
bayam	Bayam, leikir, uppgötvanir og afþreying fyrir börn
bayes	OpenBayes CLI
bazi-calculator	baZi mánaðar og dag reiknivél
bbk-cli	Tól til að mæla bandbreidd
bbzcloud	BBZ Cloud
bcc-andy	BPF þýðandasafn (BCC)
bcc	BPF þýðandasafn (BCC)
rjd-bcftools	BCFtools fyrir Variant Call Format
bcrypt-tool	bcrypt-tool er glæsilegt CLI tól til að búa til og sameina bcrypt kjötkássa
bcu-nxp	Freescale/NXP I.MX fjarstýring og aflmælingartæki
beaker-browser	Bolla vafri
dupot-beat-match-to-pass	Vinna leikinn til að fara framhjá
beautiful-dog	GNU Halló, heimur sæta hundasnappans
beautysh	Bash fegurðarefni fyrir fjöldann
bedwarsify-overlay	Einföld en eiginleikarík Hypixel Bed Wars yfirborðsvörn gegn rjóma.
beebasm	Færanlegt 6502 samsetningartæki með BBC Micro-stíl setningafræði
beebeep	BeeBEEP ókeypis skrifstofuboðberi
beebox	bí kassi
beekeeper-studio	Auðvelt í notkun SQL ritstjóri og gagnagrunnsstjóri fyrir PSQL, MySQL og fleira
been	Fylgstu með þeim stöðum sem þú hefur heimsótt
beersmith3	Hugbúnaður fyrir bruggun
beerun	Hjálpaðu býflugunni að safna nægum sykri til að standast stigið og forðast alls kyns slæma hluti á leiðinni!
beesweeper	Námur. Hex og Classic Minesweeper, allt í einu.
beets	Beets er stjórnunarkerfi fjölmiðlasafnsins fyrir þráhyggjufulla tónlistarnörda.
bejeweled-windows	Klassískur leikur 3
bendyroad	IDE sem þróast hratt fyrir vélbúnaðar stjórnanda.
benjamins-test-snap	Þetta er bara snapcraft próf
berkeleysnap	Run Snap - Berkeley Scratch
betaflight-configurator	Forritaðu og stjórnaðu BetaFlight FPV drónum þínum
better-mouse-speed	Stilltu ákveðinn músarhraða.
bettersis	Nútíma skelin fyrir SIS (hringrásarhermir og fínstillingu)
bezique	Franskur 19. aldar kortaleikur með samsvörun og brellur fyrir tvo leikmenn
bfbb-split	Betaflight blackbox samþættur glampi skráarskilari
bhouston-fw-hello	GNU Halló, Hello World snap
bhttp	Macaroon-samhæfður HTTP skipanalínubiðlari
bia-client	BIA Tribal Wars aðstoðarmaður
biblemate	Vingjarnlegur aðstoðarmaður til að lesa og læra Biblíuna þína
bible-multi-the-life	Ókeypis án nettengingar, fjöltyngd biblía KJV, Segond, Diodati, Reina Valera, Almeida
bible-multi-the-son-of-man	Ókeypis ótengdur fjölmálsbiblía KJV, Segond, Ostervald, Diodati, Reina Valera, Almeida, Schlachter
bible-reading-plan-generator	Generator fyrir biblíulestraráætlun
bibletime	Biblíutími
biblio	Löng samantekt með 79 stöfum
bibref	Tól sem hjálpar þér að uppgötva innri tilvísanir í Biblíunni
bieye	Bíonísk lesandi til að lesa hratt á flugstöðinni
bigbarry	Hugbúnaður fyrir starfsmannastjórnun.
bigberry	stór ber
bigfile	Skráaflutningskerfi sem styður http, rpc og ftp samskiptareglur
big-metro	Úreltur leikur skipt út fyrir TransLines.
bigsol3d	3D eingreypingur leikur fyrir Windows
big-tut	Frábær hasar/þrautaleikur
bin2src	Umbreyta bæti í frumkóða
binarytranslator	Þýddu texta yfir í tvöfalt og öfugt
bing-wall	Bing Veggfóður dagsins fyrir Gnome-undirstaða skjáborð
binwalk-spirotot	Snap Biwnalk
bissetii	Þessi bissetii pakki býður upp á leið til að setja upp Go þemu þína.
bitbucket-cli	Bitbucket CLI
confidential-bitcoin	Bitcoin trúnaðarmál
bitcoin-core	Fullgildir Bitcoin jafningi-til-jafningi nethnút, veski og GUI
bitgesell-wallet	Bitgesell veski - veski á vettvangi fyrir BGL dulritunargjaldmiðil.
bitlbee-sajoupa	IRC hlið að öðrum spjallnetum - bitlbee.org
bitmaptize	Vefjar gögnum inn í .bmp og dregur út gögn úr .bmp (bitamyndabreytir)
bitpay	Öruggt Bitcoin veski
bitrix24	Bitrix24 skjáborð (beta)
bitshares2-light	Tilvísunarveski fyrir dreifð skipti og cryptocurrency BitShares (BTS)
bitticker	Lifandi bitcoin-USDT auðkenni fyrir kerfisbakkann
bittorrent-tracker-editor	Bættu við eða fjarlægðu torrent skráarspora.
bitwarden	Bitwarden
bitwise	Terminal-undirstaða bitavísa reiknivél í bölvun
bjarkan	Stjórnlína Bluetooth tól
bjornt-prometheus-haproxy-exporter	Prometheus HAProxy útflytjandi
bjornt-prometheus-node-exporter	Prometheus hnútaútflytjandi
bjornt-prometheus-postgres-exporter	Prometheus Postgresql útflytjandi
bbcb-cpc	Hluti Pascal safnútgáfa af BlackBox Component Builder IDE
blackcoin-more	Sönnun um hlut í dreifðri stafrænni mynt
blade-publisher-subscriber	Dæmi um ROS
blank-demo-app	Próf
blanket	Heyrðu mismunandi hljóð
bledetect101	Bluetooth uppgötvunartæki
blender	Blender er ókeypis og opinn uppspretta 3D sköpunarsvítan.
blender-tpaw	Blender er ókeypis og opinn uppspretta 3D sköpunarsvítan.
bless-unofficial	Blessaður er Hex ritstjórinn
bl-gateway	Hnútaforritið keyrir á Dell gáttinni.
blinken	Leikur til að auka minni
blix	Blix er fullkomið samskiptatæki fyrir teymið þitt. Sameinar tölvupóst, spjall, dagatal og tengiliði í einu forriti.
blobporter-johanburati	Mjög samhliða gagnaflutningstæki fyrir Azure Blob Storage
block-attack	Dr. Mario stíl ráðgáta leikur
blockbench-snapcraft	Blockbench - Boxy 3D líkan ritstjóri
blockbuster	Leitaðu að uppáhalds kvikmyndunum þínum
playpoker	SmartPoker
block	Fullnægjandi! Nýja blokkarbrotsupplifunin.
blockout3	3D útgáfa af Tetris fyrir Windows
bloom	Bloom sía í minni með þrautseigju og HTTP viðmóti
blr-says	Hvað segir blr? (algerlega gagnslaus snap til að prófa)
bluebubbles	BlueBubbles viðskiptavinur fyrir Linux
bluedis	Glæsilegt Redis viðmót
bluej	Ókeypis Java þróunarumhverfi hannað fyrir byrjendur, notað af milljónum manna
bluemail	BlueMail er ókeypis, öruggt og alhliða tölvupóstforrit sem getur stjórnað ótakmarkaðan fjölda tölvupóstreikninga
blueprint-compiler	Merkjamál fyrir GTK notendaviðmótsskrár.
blue-recorder	Einfaldur skjáupptökutæki fyrir Linux skjáborð. Styður Wayland og Xorg
bluetooth-autostart	Einfalt smella til að ræsa Bluetooth sjálfkrafa við ræsingu
bluez	Bluetooth verkfæri og púkar
blur	Blur Network: einka dulritunargjaldmiðillinn
blur-wallet	Myndrænt veski fyrir The Blur Network (BLUR): https://blur.cash
bmail	Öruggur póstur fyrir fagfólk og fyrirtæki.
bmcmanager	tæki til að framkvæma aðgerðir á rekkieiningum.
bmi-calculator	Einföld BMI reiknivél
boardable	Sendanlegt
bobrossquotes	Safn af Bob Ross tilvitnunum
bofc0	3D FPS-RPG skipulagsleikur. 3DFPS-RPG路径规划游戏 Ókeypis útgáfa 公开版
