0ad	古代戰爭即時策略遊戲
ai-kubeflow-demo	帶有 kubeflow docker 輸出的基本 ROS1 包 snap 接口
ailibrary	Ailurus Studio C++ 函式庫
ail-installer	Arishti 資訊實驗室安裝程序。
aircontrol	AirControl 是一個用於深度學習研究的開源飛行模擬器。
airdash	隨時隨地傳輸照片和文件
airdb	空氣資料庫
airhockeyddv2	AIR 曲棍球雙人對決 V2 特別版
airshark	非 WiFi 幹擾分析儀
airsonic	您的個人一體式媒體串流媒體。
airtame-application	艾爾塔姆
airxonix	很棒的動作遊戲
aisle-sense	維森
aiva	艾瓦
akonadi	用於 PIM 應用程式的 KDE Akonadi 資料伺服器
alacritty	快速、跨平台 OpenGL 終端模擬器
alacritty-unofficial	現代 GPU 加速終端模擬器
alarabiya-desktop	阿拉伯電視台
aldo	Aldo 是一款在 GPL 下發布的摩斯電碼學習工具。
aleo-studio	世界上第一個用於零知識證明的 IDE。
alertsync	AlertSync 可實現監控和警報系統的同步
alexaweb	使用 HTML5 語音和揚聲器連接到 Alexa
alfacast	無伺服器串流音訊/視訊螢幕串流媒體和檢視器
algos	ALG
aliasman	別名人
aliddns	阿里雲dns服務。
alien-arena-linux	超快的競技場 FPS
alien-carnage	偉大的射手
alienware-cli	Alienware LED 和 HDMI 控制
alighieri	小說家和作家的無幹擾工具
aliyazdi	適用於任何平台的響應式 Flutter 產品組合應用程式
aliyundrive-fuse	阿里雲碟FUSE
aliyundrive-webdav	阿里雲端硬碟WebDAV
alligator	移動提要閱讀器
allow2automate	允許2自動化
all-remixes	發現您喜愛的歌曲的所有混音版！
alphaapp	用於測試快照發布的應用程式。
alphacoders-downloader	用 Python 編寫的從 https://alphacoders.com 下載桌布的腳本。
alphasoc-ae	AlphaSOC 分析引擎
flightsim	AlphaSOC網路飛行模擬器（flightsim）
altair	適用於所有平台的美觀且功能豐富的 GraphQL 用戶端。
amass	深入的 DNS 枚舉和網路映射。
amazing-poker-squares	紙牌遊戲
amazon-ssm-agent	用於啟用 Amazon EC2 執行個體配置遠端管理的代理
amz-workspaces	隨時隨地在任何裝置上存取您的桌面
amberol	一個小而簡單的聲音和音樂播放器，很好地整合到 GNOME 中。
amd-ucode-info	解析並顯示有關 AMD CPU 微碼容器檔案的信息
amiconnected	檢查您的網路連線狀態
am-okay	am-okay 是一個允許您動態複製或移動檔案或目錄的程式（從終端使用）
amor	一個有趣的應用程序，可以跳到當前視窗的頂部。
amoveo-wallet	阿莫維錢包
ampareimagetopdf	透過點擊將多個圖像合併為 PDF
amparepdftoimage	只需點擊幾下即可輕鬆將無限量的 PDF 轉換為圖像
amparepngtoico	點擊即可將 PNG 圖像轉換為 Windows 圖示文件
amparewakeonlan	使用 GUI 啟動 PC 和 LAN 伺服器並儲存功能
amp-waver	開源 Ampache 用戶端
amqpcat	用於從 AMQP 伺服器發布和使用的 CLI 工具
amqp-client-cli	用於監聽 AMQP 訊息總線上的訊息的 CLI 程序
amueller213-hello-world-snap	來自 Java Snap 的 Hello world
amz-aws-cli	Amazon Web Services 的通用命令列介面
zetsubougames-anadventurersgallantry	在這部奇幻視覺小說中，名譽掃地的受訓騎士奧倫作為冒險家獲得了第二次人生機會。
andrewgoatsnap	新測試總結
andrewgotz	單行電梯推廣為您帶來精彩快照
androidsdk	軟體包包含 sdkmanager 和 android SDK android 控制台工具。
android-studio-canary	Android IDE（金絲雀版）
android-studio	適用於 Android 的 IDE
android-test-tools	您的申請摘要，不超過 78 個字元。
andy-py-cli	簡單的 python CLI 測試應用程式
angband-win	很棒的 Rogue 風格 RPG
angelfish	行動網頁瀏覽器
angstrom	掌握你的人生目標。
anifx	AniFX 是一款免費的遊標編輯器，具有許多功能。
anik2	工程量清單的c程序
anilibrix	安妮圖書館
anituner	AniTuner 可讓您建立、編輯和轉換 Windows 動畫遊標 ani 檔案。
anki-ppd	可擴展的抽認卡學習程式。
anki-woodrow	Anki 是一個使用者友好且聰明的間隔學習系統。
annotations	管理 Ubuntu 核心 .config 的工具
another-redis-desktop-manager	🚀🚀🚀 更快、更好、更穩定的 Redis 桌面管理器
ansel	組織和開發數位相機影像
semaphore	Ansible 的現代 UI
anta-i7z	適用於 Linux 的更好的 i7（以及現在的 i3、i5）報告工具
antares	一個現代、快速、以生產力為導向的 SQL 用戶端，專注於使用者體驗。
anti-viral-protocol	射擊、橫向捲軸、平台、遊戲
ant-run-pro	精美的益智遊戲
antstream-arcade	暢玩超過 1000 種經典遊戲。接受我們獨特的挑戰和排行榜。
antsy-alien-attack-pico	一款復古風格的垂直捲軸射擊遊戲
ant-time-flutter	螞蟻時間
antz-panic-in-anthill	很棒的動作/益智遊戲
anubias	Anubias 是一個開源工具，用於開發更快、更簡單的行動裝置等。
anxing	斧頭
anyvizcloudadapter	AnyViz 雲端適配器
ao	優雅的微軟待辦事項
aof	Redis 僅追加檔案過濾器
aooserver	AoO 控制台伺服器
ant	阿帕契螞蟻
groovy	Apache Groovy 程式語言 – 用於 Java 平台的多面向語言
netbeans	Apache NetBeans IDE
orc	Apache ORC 是最快的大資料列式檔案格式。
apc-flutter-application	使用 Material Design 3 for Linux 的 Flutter 應用程式
aperf	網路效能測試工具
aphototoollibre	Linux 下的照片編輯器
apibillme	API計費網關
apic	這是您滿足所有 API 設計、文件和測試需求所需的唯一工具。
apig-swagger-ui	用於產生 AWS API Gateway OpenAPI 和 Swagger UI 規範的命令列工具
api-mocker-gateway	適用於任何應用程式的 REST API 模擬程序
apizee-box-1-helmet	盒裝頭盔包
apkmirror2fdroid	將軟體包從 apkmirror.com 鏡像到您的 F-Droid 儲存庫
apktool	一款對 Android apk 檔案進行逆向工程的工具。
apktool-new	用於對二進制、封閉式和第三方 Android 應用程式進行逆向工程的工具。
appflowy	開源概念替代方案
app-gif	gif-應用程式
appimage2deb	用於將 AppImage 檔案轉換為 deb 套件的 CLI 實用程序
app-jujue	微粒瀏覽器
applejuice-collector	appleJuice 用戶端的 appleJuice 收集器
applejuice-core	appleJuice P2P 用戶端
applejuice-gui	蘋果汁圖形使用者介面
apple-music-for-linux	Linux 版蘋果音樂
apple-music-electron	蘋果電子音樂
appspace-app	透過數位看板等吸引您的員工。
appstream-generator	快速 AppStream 元資料產生器
appx	用於通用 Windows 應用程式的 appx 工具
aqua-bubble	很棒的街機遊戲
aqueducts	身臨其境的解謎冒險遊戲，您將奮力拯救世界！
arcaurora-cursors	弧形極遊遊標主題
arcdigital-test	這樣的測試。很多哇。
archaeopteryx	系統發育樹的可視化、分析與編輯
archivemail	存檔並壓縮或刪除您的舊電子郵件
arcli	驚人的Redmine CLI
arduino-cli	Arduino 命令列介面
arduino	編寫程式碼並將其上傳到您的 Arduino 相容板。
arena-chess	西洋棋多人遊戲版本
ares	用 Rust 編寫的基於 CLI 的加密工具
ares-test	snapcraft 安裝/更新/刪除操作和腳本的簡單測試
argentumage	開源集換式卡牌遊戲的非官方照片
argos-translate-base-langs	為 argos-translate snap 新增語言支持
argos-translate-de-en	為 argos-translate snap 添加德語 - 英語支持
argos-translate-en-it	為 argos-translate snap 添加英語-意大利語支持
argos-translate-en-pt	為 argos-translate snap 添加英語-葡萄牙語支持
aria2c	下一代下載實用程式
arianna	電子書閱讀器
arithmetictests	學生算術測試
arkade	遊戲合集
ark	處理存檔文件
armagetron	3D Tron 克隆。
armaria	Armaria 是一個快速、開放且本地第一的書籤管理器。
armcord	ArmCord 是一款客製化客戶端，旨在增強您的 Discord 體驗，同時保持一切輕量。
armed-to-the-gears	Armed to the Gears 是一款 3D/等距遊戲
arp-scanner	輕量級、跨平台 IP 掃描器
arqma-electron-wallet	Arqma電子錢包
artctest	這使用 sdl2_image、sdl2_ttf 評估簡單的 sdl2 應用程式
artdiario	每天在您的桌面上精選藝術作品
artemisgcp	阿爾忒彌斯gcp
artifact	Qix、Volfied 和 Barrack 風格的快速遊戲
artikulate	清晰發音訓練師
asana-snap	體式快照
asana-exporter	從 Asana 匯出數據
asa-ncmpcpp	受 ncmpc 啟發的基於 ncurses 的 MPD 用戶端
asar	操作 asar 文件
asarui	伊阿薩爾
asbru	Asbru 連接管理器的即時移植性
asciicker	3D文字模式的RPG原型
ascii-clock	適用於您終端的類比時鐘
asciidoc-link-check	檢查 asciidoc 檔案中的所有超連結是否處於活動狀態（或非活動狀態）。
ascii-draw	使用 ASCII 字元進行繪製
ascii-image-converter	將圖像和 gif 轉換為 ASCII 藝術
asciinema-agg	agg 是一個 CLI 工具，用於從 asciicast v2 檔案產生 GIF
asciinema	以正確的方式記錄和分享您的終端會話
ascii-patrol	ASCII 巡邏
asciiquarium	Asciiquarium 是 ASCII 藝術的水族館/海洋動畫
ascii-videoplayer	終端的低解析度（空間和色彩）視訊播放器/影像渲染
asdfkasjfkasjflas	GNU 你好，你好世界快照
askgod	Askgod評分系統-客戶
kg-assistant	Assistant是一個令人愉快的文件修改工具
kg-assistantqt	AssistantQt 控制台應用程式助理的開源 GUI
assistivecam	適合視障人士使用的相機檢視器
astiga	您的雲端線上音樂播放器。
astrastack	天文學堆疊應用程式
astro-flow	Astro Flow 是一款基於 Flowtime 方法的焦點計時器。
astroimpact	拯救地球免於不可避免的毀滅！在線，與您的朋友一起！
astronum	用於簡單占星和命理學計算的程序
atani	阿塔尼
atari800-jz	便攜式且免費的 8 位 Atari 模擬器
atari800-linux	雅達利 800 模擬器
atcli	跨平台託管文件傳輸服務
athena-core	簡單的檔案處理器
atimerecording	免費線上追蹤工作、自營職業、運動和休閒時間。
atlantik	Monopoly® 棋盤遊戲
atlas-cli	MongoDB Atlas API 的命令列介面
atlas-hello	你好世界即時包。
atomica	很棒的 PopCap 遊戲
atomic-bomberman	炸彈人正式版
atomify	霧化LAMMPS
atril	適用於 MATE 桌面環境的文件檢視器
atsf-diesels	在艾奇遜、托皮卡和聖達菲列表中搜尋柴油電力機車資訊
attfeeder	姿態角給料機
auale	與電腦對手玩曼卡拉
audacious	輕量級音訊播放器
audacity	用於多軌錄音和編輯的音訊軟體
audible-for-linux	Linux 下有聲
audible-uk-for-linux	有聲的
audio-looper	音訊循環器
audio-sharing	共享電腦中的音頻
audio-switcher	在音訊輸出接收器之間切換的簡單腳本
audiotube	YouTube 音樂融合用戶端
audovia-lite	使用 JFugue MusicStrings 製作音樂的資料庫應用程式
auguron	使用 Web3 技術控制您的雲端儲存。
aurora-cli	幫助 Aurora OS 開發人員的腳本集合。
aurora-editor	另一個輕量級折扣編輯器。
austin	用於 CPython 的 Python 幀堆疊採樣器
authme	適用於桌面的簡單跨平台雙重因素 (2FA) 身份驗證器應用程式。
authpass	具有 KeePass 檔案支援的開源密碼管理器。
authy	Authy桌面
authz0	Authz0是一個自動化授權測試工具。
auto-cpufreq	Linux 的自動 CPU 速度和功耗優化器
autoinstall-generator	將 Debian 安裝程式預置轉換為 Subiquity 回應的實用程式
autopilot-qt	QT自動駕駛儀
autopsy	Sleuth Kit 和其他數位鑑識工具的圖形介面。
autoskola3d	駕訓班3D
autoskola-free6	無autoskola6
autossh	autossh 是一個啟動 ssh 副本並監控它的程式
autotrash-unofficial	根據年齡和/或文件名從垃圾箱中清除文件
avahi-client	Avahi 客戶端範例
avahi	avahi 守護程式
avernum2	《阿弗納姆 2》角色扮演遊戲
awdur	簡單的路線圖應用程式
awesome-database-hello	GNU 你好，你好世界快照
awesome-pygames	艾爾·斯威加特遊戲。手冊位於 inventwithpython.com/pygame。
awk-nsantos	GNU awk
aws-azure-login	使用 Azure AD SSO 透過 CLI 登入 AWS。
aws-cli	Amazon Web Services 的通用命令列介面
aws-es-kibana	本機的 AWS Elasticsearch 代理
awsiot	自動向 AWS IoT 註冊您的裝置。
aws-iot-greengrass	與 AWS 相容的軟體，可將雲端功能擴展到本機。
aws-serverless-dataflow	AWS無伺服器元件的視覺化（Lambda、API閘道、SNS、SQS等）
aws-ubuntu-advantage	為 Ubuntu Advantage 設定 AWS 帳戶
wickrpro	為團隊提供安全的訊息傳遞
awswickrgov	為團隊提供安全的訊息傳遞
awt-graphics	測試java-desktop-maven專案的打包
axel	輕量級 CLI 下載加速器
axeman	Axeman 是一個用於下載、分析和儲存 CTL 的實用程式
axolotl	信號客戶端。
ayub-trying-snap	單行電梯推廣為您帶來精彩快照
azbrowse	用於導航 Azure 的互動式 CLI，靈感來自 http://resources.azure.com/
azcopy-johanburati	用於將資料複製到 Azure 儲存體或從 Azure 儲存體複製資料的命令列工具
azimuth	Azimuth – 帶有向量圖形的銀河惡魔城
azteca	適用於 Windows 的遊戲 Azteca
azcli	Azure 命令列介面 (CLI)，包括 AZCopy
azure-cli-johanburati	微軟Azure CLI 2.x
azuredatastudio	為資料專業人員提供統一的工具體驗
azure-functions-core-tools-johanburati	Azure Functions 核心工具
b1freearchiver	免費文件歸檔和加密軟體
b2	微型模擬器 b2 BBC
babeld-sabdfl	Babel是一種防止環路的距離向量路由協議
backbomb	Docker 化的滲透測試/bugbounty/app-sec 環境
backgammon-text	文字版棋盤遊戲雙陸棋
backupy	備份Py
backupz2	建立備份 tar.gz 文件
backupz	Backupz 建立備份 tar.gz 文件
bacpypes-sample-bems	使用 bacpypes 函式庫的簡單 python 腳本
baewangu	社交約會應用程式
bake	Bake 是一個簡單的任務運行程式。
balloon-pop	氣球爆破遊戲和拼圖
balls2	遊戲
bamboo	用於離線 Web 應用程式的 Web 應用程式伺服器。
banana-accounting-plus	香蕉會計軟體
bandit	來自 PyCQA 的 Python 安全檢查器
bandwhich	終端頻寬使用工具
baohui-hello	GNU 你好，你好世界快照
qrca	掃描並建立二維碼
bare	空的基礎快照，可用於測試和完全靜態連結的快照
bare-with-bash	空的基本快照，用於不需要 libc 或類似的快照。
barmer-ecare	與電子病患安排您的登記日期。
barrier-kvm	消除機器之間的障礙。
bart	巴特克利
base58	Base58 和 Base58Check 實現
baseshift	用於轉換數位系統的 CLI 應用程式。
bash-brlin	Bourne Again SHell (Bash)（非官方，實驗性）
bashell	一個簡單的 BASH 腳本來測試所有 BASH 腳本
bash-language-server	Bash 語言伺服器
bash-omgerbuilder	GNU 重擊
bash-shell-rpg	一款可以在命令列上玩的開放世界 2D 動作角色扮演遊戲。
bashtop	您的終端的資源監視器
basic-amd64	最簡單的快照。
basiliskii	MacOS BasiliskII 模擬器 - 模擬 Mac 680x0
basket	筆記和任務組織者
bassam-social	巴薩姆社會
bastis-test-snap	Falcon 8+ moosepoint 超寬頻酬載
batchfilerename	批次檔重命名實用程式
batch-image-editor	批次影像編輯器
battery-check	不錯的平台遊戲
battle-rush-tanks	策略街機遊戲
battleships-resurrection	經典棋盤遊戲戰艦的精彩版本
batufo	2D多人太空對戰遊戲
baugeschichte	查看城市建築的圖像和歷史
bavarder	人工智慧聊天
bayam	Bayam、兒童遊戲、發現和活動
bayes	OpenBayes CLI
bazi-calculator	八字月日計算器
bbk-cli	測量頻寬的工具
bbzcloud	BBZ雲
bcc-andy	BPF 編譯器集合 (BCC)
bcc	BPF 編譯器集合 (BCC)
rjd-bcftools	用於變體調用格式的 BCFtools
bcrypt-tool	bcrypt-tool 是一個優雅的 CLI 工具，用於產生和組合 bcrypt 雜湊值
bcu-nxp	飛思卡爾/NXP I.MX 遠端控制和功率測量工具
beaker-browser	盃瀏覽器
dupot-beat-match-to-pass	贏得比賽即可透過
beautiful-dog	GNU 你好，萌狗快照的世界
beautysh	適合大眾的 Bash 美化工具
bedwarsify-overlay	一個簡單但功能豐富的 Hypixel Bed Wars 反狙擊覆蓋層。
beebasm	具有 BBC Micro 風格語法的便攜式 6502 彙編器
beebeep	BeeBEEP 免費辦公信使
beebox	蜂箱
beekeeper-studio	易於使用的 SQL 編輯器和資料庫管理器，適用於 PSQL、MySQL 等
been	記錄您去過的地方
beersmith3	沖泡軟體
beerun	幫助蜜蜂收集足夠的糖來通過關卡，並避免沿途遇到各種不好的事情！
beesweeper	地雷。十六進制和經典掃雷遊戲合而為一。
beets	Beets 是專為音樂迷打造的媒體庫管理系統。
bejeweled-windows	經典三消遊戲
bendyroad	快速開發的控制器韌體 IDE。
benjamins-test-snap	這只是一個 snapcraft 測試
berkeleysnap	Run Snap - 伯克利 Scratch
betaflight-configurator	編程和控制您的 BetaFlight FPV 無人機
better-mouse-speed	設定特定的滑鼠速度。
bettersis	SIS 的現代外殼（電路模擬器和最佳化器）
bezique	一種 19 世紀的法國紙牌遊戲，適合兩名玩家進行配對和技巧
bfbb-split	Betaflight Blackbox 整合快閃日誌檔案分割器
bhouston-fw-hello	GNU 你好，你好世界快照
bhttp	與 Macaroon 相容的 HTTP 命令列用戶端
bia-client	BIA部落戰爭助理
biblemate	閱讀與學習聖經的好幫手
bible-multi-the-life	免費離線多語聖經 KJV、Segond、Diodati、Reina Valera、Almeida
bible-multi-the-son-of-man	免費離線多語聖經 KJV、Segond、Ostervald、Diodati、Reina Valera、Almeida、Schlachter
bible-reading-plan-generator	聖經閱讀計劃產生器
bibletime	聖經時間
biblio	79 個字元的長摘要
bibref	幫助您發現聖經內部參考文獻的工具
bieye	用於在終端機控制台上快速閱讀的仿生閱讀器
bigbarry	員工管理軟體。
bigberry	大莓果
bigfile	一個支援http、rpc、ftp協定的檔案傳輸系統
big-metro	過時的遊戲被 TransLines 取代。
bigsol3d	適用於 Windows 的 3D 紙牌遊戲
big-tut	很棒的動作/益智遊戲
bin2src	將位元組轉換為原始碼
binarytranslator	將文字轉換為二進制，反之亦然
bing-wall	基於 Gnome 的桌面的 Bing 每日壁紙
binwalk-spirotot	Snap Biwnalk
bissetii	這個 bissetii 套件提供了一種安裝 Go 主題的方法。
bitbucket-cli	Bitbucket CLI
confidential-bitcoin	比特幣機密
bitcoin-core	全面驗證比特幣點對點網路節點、錢包和GUI
bitgesell-wallet	Bitgesell Wallet - BGL 加密貨幣的跨平台錢包。
bitlbee-sajoupa	通往其他聊天網路的 IRC 網關 - bitlbee.org
bitmaptize	將資料包裝在 .bmp 中並從 .bmp 中提取資料（點陣圖轉換器）
bitpay	安全的比特幣錢包
bitrix24	Bitrix24 桌面版（測試版）
bitshares2-light	去中心化交易所和加密貨幣比特股（BTS）的參考錢包
bitticker	系統托盤中的即時比特幣-USDT 代碼
bittorrent-tracker-editor	新增或刪除 torrent 檔案追蹤器。
bitwarden	比特沃登
bitwise	curses 中基於終端的位元計算器
bjarkan	命令列藍牙實用程式
bjornt-prometheus-haproxy-exporter	普羅米修斯 HAProxy 匯出器
bjornt-prometheus-node-exporter	普羅米修斯節點導出器
bjornt-prometheus-postgres-exporter	Prometheus Postgresql 導出器
bbcb-cpc	BlackBox Component Builder IDE 的 Component Pascal 集合版本
blackcoin-more	去中心化數位貨幣的權益證明
blade-publisher-subscriber	ROS範例
blank-demo-app	測試
blanket	聽到不同的聲音
bledetect101	藍牙檢測工具
blender	Blender 是免費的開源 3D 創作套件。
blender-tpaw	Blender 是免費的開源 3D 創作套件。
bless-unofficial	祝福十六進位編輯器
bl-gateway	節點應用程式在 Dell 網關上運行。
blinken	記憶增強遊戲
blix	Blix 是您團隊的終極溝通工具。將電子郵件、聊天、日曆和聯絡人合併在一個應用程式中。
blobporter-johanburati	Azure Blob 儲存的高同時資料傳輸工具
block-attack	馬裡奧博士風格的益智遊戲
blockbench-snapcraft	Blockbench – 一個四四方方的 3D 模型編輯器
blockbuster	搜尋您最喜歡的電影
playpoker	智慧撲克
block	滿意的！全新的破塊體驗。
blockout3	Windows 版俄羅斯方塊 3D 版本
bloom	具有持久性和 HTTP 介面的記憶體中布隆過濾器
blr-says	blr 說什麼？ （對於測試來說完全沒用的快照）
bluebubbles	適用於 Linux 的 BlueBubbles 用戶端
bluedis	優雅的 Redis 介面
bluej	專為初學者設計的免費 Java 開發環境，已有數百萬人使用
bluemail	BlueMail 是一款免費、安全且通用的電子郵件應用程序，能夠管理無限數量的電子郵件帳戶
blueprint-compiler	GTK 使用者介面檔案的標記語言。
blue-recorder	一個簡單的 Linux 桌面螢幕錄影機。支持 Wayland 和 Xorg
bluetooth-autostart	簡單的按扣即可在啟動時自動啟動藍牙
bluez	藍牙工具和守護程序
blur	Blur Network：私有加密貨幣
blur-wallet	Blur Network (BLUR) 的圖形錢包：https://blur.cash
bmail	為專業人士和公司提供安全郵件。
bmcmanager	用於在機架單元上執行操作的工具。
bmi-calculator	一個簡單的體重指數計算器
boardable	可運送
bobrossquotes	鮑伯羅斯語錄集
bofc0	一款3D FPS-RPG策劃遊戲。 3DFPS-RPG路徑規劃遊戲 免費版 公開版
bofh	直接在您的終端接收 BOFH 式的道歉！
boggle	Boggle 是一款文字遊戲，您可以嘗試拼出盡可能多的單字。這是一個文字遊戲。
boggle-java	Java 版本的 Boggle 遊戲
boilerplate2	單一儲存庫模式
boilerplate-monorepo	單行電梯推廣為您帶來精彩快照
boinctasks-js	BoincTasks Js
bolls	膠囊
boltstorm	Boltstorm 是 Ludum Dare 34 72 小時遊戲比賽期間開發的遊戲
bomber	街機轟炸遊戲
bomberic2	很棒的動作遊戲
bomberic	很棒的動作遊戲
bombermaaan	粉絲克隆炸彈人
bombsquad	拆彈小組
bomist	波米斯特
bongo-boogie	很棒的破磚機
bonnies-bookstore-dlx	另一個很棒的 PopCap 遊戲
bookmark-cd	bcd 到標記目錄
boondocksd	城市守護程式
boondocks-hello-world	Boondocks Hello World 應用程式
boop-gtk	將 IvanMathy 的 Boop 移植到 GTK，這是一個供開發人員使用的可程式暫存器。
boostchanger	脈衝交換器
bootstack-elasticsearch	Elasticsearch 是分散式 RESTful 搜尋和分析引擎
boot-up-time	快速檢查筆記型電腦和筆記型電腦的啟動時間
borger0	畫出振盪器和包絡線。
borger3	受 Korg ER-1 啟發的音調產生器
borhan	《古蘭經》的文本及其各種譯本
boringman	在線與其他設計不佳的 2D 火柴人戰鬥，像瘋子一樣跳躍並將自己炸成碎片
bbl	BOSH 引導程式 CLI
bosh-cli	博世命令列介面
bottle	比特幣瀏覽器
bottom	具有可自訂介面的圖形過程/系統監視器
bovo	五連勝棋盤遊戲
bower	網路封包管理器
bow-webots	BOW Webots 是一款免費的 3D 機器人模擬器，使用 BOW SDK 進行了增強
boxwallet	BoxWallet 是一種獨特的多貨幣二進位 CLI 工具，只需幾個命令即可快速設定您選擇的貨幣錢包/節點
bpytop	適用於您的終端機的基於 Python 的資源監視器。
brainfuck-shell	Shell 像狗屎一樣解析你的命令。
brakeman	Ruby on Rails 安全漏洞靜態分析工具
branch-diff	輕鬆比較 2 個 git 分支。
brave	使用 Brave 瀏覽更快、更安全。
brave-dwarves-bft	很棒的平台遊戲
brave-dwarves	很棒的平台遊戲
breaktimer	暫停計時器
brickstore	BrickStore - 離線 BrickLink 庫存管理工具。
bridge-3000	不錯的橋牌遊戲
bridge-designer	設計公路桁架橋：工程的現實介紹
qanda-link	Qanda 將網頁和 PDF 文件的內容連結到問題和答案
broker	即時零碼API伺服器
brook	跨平台代理軟體。
bruno	布魯諾
bsrally	bsrally 是 Rally + Tempest + refstack 測試
bstamp	bstamp摘要
btcassistant	加密貨幣投資者的簡單助手
btctools	螞蟻礦機管理工具
btc-wallet-tracking	比特幣錢包追蹤工具
btop-desktop	顯示使用情況和統計資料的資源監視器 - 桌面版本
btop	顯示使用情況和統計資訊的資源監視器
btrfs-progs	btrfs 工具一覽
bubble-bobble-2-hero	更新街機經典
bubble-bobble-nostalgie	街機經典的精彩更新
bubble-pop	泡泡彈出遊戲和拼圖。
bubs-brothers-windows	街機經典多人遊戲更新
bucklespring	懷舊扣簧鍵盤聲音
buffalocounter	我的第一個用於測試的即時應用程式。
bug-bounty	修復所有錯誤。
bugit	用於向 Launchpad 提交問題並自動附加有關被測系統的資訊的工具。
buka	電子書管理與閱讀器
bulkurlopener	一個簡單易用的應用程序，允許用戶單擊即可打開 URL 列表。
bullet-bubby	Bullet Bubby 是一款射擊遊戲，或是彈幕地獄類型的遊戲
bullet	子彈時間物理庫。
bump	命令列更新 git 儲存庫中的版本
bumptag	凹凸標籤是一個用於碰撞版本並建立帶有註釋的 git 標籤的工具。
bundle-lint	juju 套件或部署模型的 Linter
bundler-mardy	Bundler - 用於無序影像集合的運動結構 (SfM)
bun-js	麵包
bunjs	Bun 是一個完整且快速的 JavaScript 執行階段
bunny-forest	關於兔子、探索和尋找胡蘿蔔的平靜遊戲
bunqdesktop	Bunq API 的非官方、免費和開源桌面應用程式
burdirc	IRC 用戶端
bus-calculator	巴士計算機
butt	butt（使用此工具進行串流）是一個易於使用的串流工具
buzyteam	裝備布齊
buzz	Buzz、離線音訊轉錄和翻譯
buzz-fo	離線轉錄和翻譯音頻
